Fecha de suscripción,Nombre del Producto,Moneda,Cantidad,Tipo,De,Estado
25-09-06 08:33:25,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-06 08:07:02,USDC,USDC,0.05613641,Auto,SPOT,Success
25-09-06 07:35:52,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-05 08:34:28,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-05 08:07:37,USDC,USDC,0.05611828,Auto,SPOT,Success
25-09-05 07:36:35,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-04 08:41:25,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-04 08:14:00,USDC,USDC,0.05601431,Auto,SPOT,Success
25-09-04 07:42:19,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-03 22:38:31,BTC,BTC,0.00021978,Auto,SPOT,Success
25-09-03 17:03:38,USDC,USDC,0.30632,Normal,SPOT,Success
25-09-03 08:41:19,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-03 08:13:51,USDC,USDC,0.06284293,Auto,SPOT,Success
25-09-03 07:41:19,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-02 08:40:48,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-02 08:13:41,USDC,USDC,0.0628225,Auto,SPOT,Success
25-09-02 07:42:01,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-01 08:40:46,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-01 08:13:22,USDC,USDC,0.0628021,Auto,SPOT,Success
25-09-01 07:40:54,BTC,BTC,0.00000006,Auto,SPOT,Success
25-08-31 08:36:49,ETH,ETH,0.00000002,Auto,SPOT,Success
25-08-31 08:10:31,USDC,USDC,0.06278161,Auto,SPOT,Success
25-08-31 07:37:31,BTC,BTC,0.00000006,Auto,SPOT,Success
25-08-30 08:39:38,ETH,ETH,0.00000002,Auto,SPOT,Success
25-08-30 08:13:43,USDC,USDC,0.06276102,Auto,SPOT,Success
25-08-30 07:39:31,BTC,BTC,0.00000006,Auto,SPOT,Success
25-08-29 08:12:17,USDC,USDC,0.06274029,Auto,SPOT,Success
25-08-29 07:38:12,BTC,BTC,0.00000006,Auto,SPOT,Success
25-08-28 22:37:22,BTC,BTC,0.00000006,Auto,SPOT,Success
25-08-28 12:59:53,ETH,ETH,0.00859182,Normal,SPOT,Success
25-08-28 08:11:56,USDC,USDC,0.0627196,Auto,SPOT,Success
25-08-28 07:03:56,BTC,BTC,0.01326639,Normal,SPOT,Success
25-08-27 08:08:57,USDC,USDC,0.06248305,Auto,SPOT,Success
25-08-26 08:09:33,USDC,USDC,0.85022151,Auto,SPOT,Success
25-08-25 08:19:16,USDC,USDC,0.06928626,Auto,SPOT,Success
25-08-24 08:19:17,USDC,USDC,0.06926326,Auto,SPOT,Success
25-08-23 08:18:03,USDC,USDC,0.06924027,Auto,SPOT,Success
25-08-22 08:18:02,USDC,USDC,0.06921736,Auto,SPOT,Success
25-08-21 08:22:12,USDC,USDC,0.06919447,Auto,SPOT,Success
25-08-20 08:20:52,USDC,USDC,0.06907931,Auto,SPOT,Success
25-08-19 23:17:24,USDC,USDC,0.33065615,Auto,SPOT,Success
