"date(UTC+0)","executed_qty","amount","price","side","symbol","fee","fee_coin","market_type","tax_id"
"2025-07-02 17:22:47","0.09000000000000000000","232.07724000000000000000","2578.63600000","SELL","ETH_USDT_PERP","0.10910192","USDT","Futures USDT","s_74"
"2025-07-02 17:24:18","0.10500000000000000000","271.29087000000000000000","2583.72257143","BUY","ETH_USDT_PERP","0.12175513","USDT","Futures USDT","s_75"
"2025-07-02 17:41:25","0.10500000000000000000","268.56399000000000000000","2557.75228571","SELL","ETH_USDT_PERP","0.13195730","USDT","Futures USDT","s_75"
"2025-07-02 18:30:11","0.08900000000000000000","230.41352000000000000000","2588.91595506","BUY","ETH_USDT_PERP","0.11520678","USDT","Futures USDT","s_76"
"2025-07-02 23:21:13","0.08400000000000000000","217.38182000000000000000","2587.87880952","SELL","ETH_USDT_PERP","0.10869096","USDT","Futures USDT","s_76"
"2025-07-02 23:41:44","0.00120000000000000000","131.36471000000000000000","109470.59166667","SELL","BTC_USDT_PERP","0.02627292","USDT","Futures USDT","s_72"
"2025-07-02 23:50:40","0.05375000000000000000","136.04899000000000000000","2531.14400000","SELL","ETH_USDT","0.06802449","USDT","Spot","s_62"
"2025-07-03 00:42:10","0.10454000000000000000","269.24449870000000000000","2575.51653625","BUY","ETH_USDT","0.00005250","ETH","Spot","s_62"
"2025-07-03 00:44:11","0.00020000000000000000","21.79937000000000000000","108996.85000000","BUY","BTC_USDT_PERP","0.00435987","USDT","Futures USDT","s_72"
"2025-07-03 05:22:12","0.03000000000000000000","77.72990000000000000000","2590.99666667","BUY","ETH_USDT_PERP","0.03886496","USDT","Futures USDT","s_76"
"2025-07-03 09:42:15","0.00300000000000000000","330.03320000000000000000","110011.06666667","SELL","BTC_USDT_PERP","0.15519946","USDT","Futures USDT","s_72"
"2025-07-03 09:44:37","0.00290000000000000000","316.39243000000000000000","109100.83793103","BUY","BTC_USDT_PERP","0.06327854","USDT","Futures USDT","s_77"
"2025-07-03 09:45:57","0.28000000000000000000","720.82680000000000000000","2574.38142857","BUY","ETH_USDT_PERP","0.14416534","USDT","Futures USDT","s_78"
