"position_id","symbol","position_side","open_time","close_time","pnl","fee","funding_fee"
"42975442786934_76_ETH_USDT_PERP_L_45558067444","ETH_USDT_PERP","long","2025-07-02 22:36:50","2025-07-02 23:21:13","-0.128750000000000000","-0.0129862750","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45560419164","ETH_USDT_PERP","long","2025-07-02 23:30:36","2025-07-03 02:30:52","-0.125650000000000000","-0.0128706750","-0.0012847800"
"42975442786934_76_ETH_USDT_PERP_L_45575362402","ETH_USDT_PERP","long","2025-07-03 05:22:12","2025-07-03 05:36:20","0.053200000000000000","-0.0129348500","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45581484341","ETH_USDT_PERP","long","2025-07-03 07:35:13","2025-07-03 08:08:33","0.001900000000000000","-0.0129959500","-0.0012835372"
"42975442786934_72_BTC_USDT_PERP_L_42039559241","BTC_USDT_PERP","long","2025-07-02 16:15:44","2025-07-03 09:42:15","2.484140000000000000","-0.3716681820","-0.0286389619"
"42975442786934_76_ETH_USDT_PERP_L_45585299738","ETH_USDT_PERP","long","2025-07-03 09:12:08","2025-07-03 09:48:00","0.058750000000000000","-0.0130013750","0.0000000000"
"42975442786934_78_ETH_USDT_PERP_L_45587497856","ETH_USDT_PERP","long","2025-07-03 09:48:21","2025-07-03 12:30:02","0.141640000000000000","-0.0249194480","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45588269547","ETH_USDT_PERP","long","2025-07-03 10:00:10","2025-07-03 12:30:56","-0.063900000000000000","-0.0129595500","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_S_45596088184","ETH_USDT_PERP","short","2025-07-03 12:38:34","2025-07-03 13:30:55","-0.124450000000000000","-0.0129304750","0.0000000000"
"42975442786934_78_ETH_USDT_PERP_L_45594828750","ETH_USDT_PERP","long","2025-07-03 12:30:17","2025-07-03 13:37:18","0.259720000000000000","-0.0455644400","0.0000000000"
"42975442786934_77_BTC_USDT_PERP_L_42073470636","BTC_USDT_PERP","long","2025-07-03 09:48:12","2025-07-03 13:49:53","0.174290000000000000","-0.0306806300","0.0000000000"
